Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Chicken Margherita,Italian,,,"??
basil
oregano
garlic & onion
??
2 lb grilled chicken chunks
8 oz grilled eggplant chunks
8 oz artichoke hearts (1 can)
8 oz mushrooms
3 cups tomato sauce
2 beefsteak tomatoes
8 oz mozzarella
8 oz ricotta",,,Entree,,,,
Chicken Marsala,Italian,6,"4 tbsp marsala,1 cup chicken bouillon broth,  pepper to taste,  salt to taste,0.5 tsp onion powder,1 tsp thyme,1 cup flour,4 tbsp butter (unsalted),4 tbsp olive oil,4 cloves garlic,1.5 lb chicken breasts","Prep: 
Wipe chicken breasts dry with paper towels, laying them out on a cutting board.

Combine flour, onion powder, salt, & pepper in a shallow dish. Dredge each chicken breasts lightly in the flour mixture, reserving the rest of the flour for later.

Main:
Over medium-high heat, in a deep skillet, grill the chicken breasts in the butter and oil until they begin to brown. Add the garlic and sauté 1 minute. Sprinkle with 2 tablespoons of the dredging flour and stir until mixed. 

Meanwhile, in a small saucepan, boil 1 cup chicken broth and 4 tbsp marsala. Pour the sauce over the chicken and simmer together another 2-3 minutes. Add 2 tsp corn starch/water mixture to thicken the sauce if desired.",,Paleo,Entree,,IMG_5384.jpg (https://dl.airtable.com/.attachments/e1d3f31c2506979a6d9547f062210f9c/12b66411/IMG_5384.jpg),8.5,
Chicken or Fish Piccata,Italian,4,"  salt to taste,  pepper to taste,1 tbsp cornstarch,0.33 cup water,6 tbsp capers,1 tbsp honey,4 tbsp lemon juice,1 cup chicken bouillon broth,4 oz white wine,4 cloves garlic,4 tbsp butter (unsalted),2 tbsp olive oil,0.25 cup flour,1 lb chicken breasts","Prep: 
Measure out the wine, broth, and honey. 

Main:
Slice the chicken breasts or white fish filets thinly and evenly. Dry all moisture from the chicken or fish and coat it with flour, salt, and pepper. Grill the chicken or fish in 1-2 tbsp of olive oil over medium heat till it is golden brown. Remove it from the pan and set aside temporarily.

In the same pan, melt the butter. Crush the garlic into the pan and sauté ~1 min until it's just starting to brown and become fragrant. Add the wine to the pan and deglaze the pan, then mix in the broth, lemon juice, and honey. Simmer the sauce until the liquids have reduced by half.

To thicken the sauce, mix the cornstarch with water and throughly whisk it into the sauce. At this point, mix in the parsley and capers. Return the chicken to the pan, turn the heat down very low, and let the chicken cook further in the sauce for ~2-3 min.

Optionally serve alongside pasta and spinach.",http://www.partial-ingredients.com/archives/3918,"Paleo,Seafood",Entree,1 hour,Screen Shot 2019-01-23 at 1.32.55 PM.png (https://dl.airtable.com/.attachments/c58416b12ff193d642f0e95c1eaf05e4/16554226/ScreenShot2019-01-23at1.32.55PM.png),,
Chicken Paprikash,North/Eastern European,,,,,,Entree,,,,
Chicken Pulao,Indian/Bangali,,,,"Source: p. 190 of ""My Bangladesh Kitchen"" by Saira Hamilton",Halal,Entree,,,,
Chicken Tagine,African,8,"2 tbsp parsley (fresh),12  apricots (dried),4 sprig(s) parsley (fresh),2 sprig(s) thyme (fresh),2  cinnamon stick(s),4 tbsp bitter orange preserves,3 cups water,2 tsp saffron threads,0.5 tsp paprika,0.5 tsp turmeric,2 tbsp ginger (fresh grated),4 cloves garlic,2 cups shallot(s),2 tbsp butter (unsalted),2 tbsp olive oil,1 tbsp salt,4 cups chicken breasts","Prep: 
Pat the chicken breasts dry and sprinkle with 1 tsp salt. Grill them in an oiled pan until golden brown on both sides. Transfer on to a plate to cool.

Placing each group in separate bowls,
- Dice the shallots. 
- Mince 4 cloves garlic and grate 2 tbsp ginger. Mix in 1/2 tsp turmeric and 1/2 tsp paprika.
- Chop 12 apricots, julienne 2 sprigs parsley and 2 sprigs thyme, and measure 4 tbsp of the bitter orange preserves. Mix them and place 2 cinnamon sticks on top.
- Chop the chicken into bite-size chunks and measure out 4 cups.

Main:
In a 5-6 quart pot, melt the butter and 1 tsp oil. Cook the shallots on low heat until soft, stirring frequently (~10 min). Stir the garlic, ginger, turmeric, and paprika. Cook for 3 min, then stir in 1/2 tsp salt and 2 threads of saffron. 

Mix in the chicken and 3 cups of water. Bring to a boil, then reduce to a simmer. Cook for 30 min with the lid on.

Next, stir in the bitter orange preserves, thyme, parsley sprigs, apricots, and cinnamon sticks. Cover and simmer another 10 min. Then, remove the cover and simmer until chicken is very tender (~10-15 min). If the sauce is not thick, mix in 1 tbsp of corn starch and cold water, simmering until it thickens. Finally, stir in the chopped parsley and serve while hot.",,"Paleo,Halal",Entree,2 hours,IMG_1227.jpeg (https://dl.airtable.com/.attachments/ad2121d94f20c418aa9d8745cf156da7/b63f4799/IMG_1227.jpeg),6.5,
Chicken Tinga,Mexican/Latin,,,"1/4 cup + 2 tablespoons extra-virgin olive oil 
2 1/2 pounds trimmed, skinless, bone-in chicken thighs
1 large onion, thinly sliced 
3 large garlic cloves, minced
Salt and freshly ground black pepper
One 28-ounce can diced tomatoes 
2 canned chipotles in adobo, coarsely chopped
1 cup chicken broth 
24 corn tortillas
2 ounces Cotija cheese, crumbled
Sliced scallions and chopped cilantro, for garnish

Start by making the shredded chicken.

In a large saucepan add 2.5 lb chicken with an inch of water.
Bring water to a boil. Cover, reduce heat to low, and simmer for 20 minutes.
Remove chicken from the cooking water. Save the broth.
Allow chicken to cool to the touch.
Finely shred the chicken. Cut the chicken into 1″ pieces then pull apart with your fingers.

Add other ingredients, including the chicken broth and 1 tsp epazote, to the blender. EXCLUDE the onion and 2 cloves of the garlic.

Saute the onions. Add the garlic. Turn the heat to medium and slowly pour the sauce into the pan with the onions and garlic. Cook for 5 minutes. The sauce will start to reduce.

Turn the heat to the lowest setting. Add the chicken and some salt. Cover the pan and allow to simmer for 20 minutes. During this time the sauce will reduce even more and coat the chicken and onion.","https://mexicanfoodjournal.com/chicken-tinga/
https://www.foodandwine.com/recipes/chicken-tinga-tacos#reviewSection","Paleo,Halal",Entree,,,,
Chicken Tomato Pot Pie or Stew,American,12,"6 oz cheddar,2 cups chicken breasts,0.5 cup flour,8 oz tomato puree,3 cups chicken bouillon broth,0.25 tsp black pepper,0.5 tsp salt,1 tsp garlic powder,1 tsp sage,1 cup carrot,1 cup celery,2 cups onion(s)","Prep:
Boil water and add chicken bouillon to make the broth. Meanwhile, preheat the oven to 350. 

Bake the chicken in some broth with the lid on, so that the steam keeps the meat moist. Meanwhile, chop the onion, celery, & carrot. 

Main:
In a large soup pot, sauté the vegetables until they’re soft. Chop the chicken into bite-size pieces and add to the veggies.

Stir in the 1 tsp sage, 1 tsp garlic powder, 1/2 tsp salt, and 1/2 tsp black pepper. Then, add 2 cups of broth and 8 oz tomato purée. Boil then reduce the heat and simmer for 5 minutes.

In a small bowl, whisk the flour and the remaining 1 cup of broth together. Stir this into the pan and cook until bubbling, then simmer on low heat with the lid on for 20-30 minutes.* In the last 5 minutes, stir in the shredded cheddar until it melts and then remove the pot from the heat.

*IF MAKING POT PIE:
Pour the filling into the pie plate and smooth the top. Preheat the oven to 425 degrees. Meanwhile, mix the flour, salt, and shortening in a large bowl. Cut in the shortening with a pastry blender or a large fork. Using your hands, knead in the water until the dough forms a ball. 

Flatten and roll it out into a disk. Fit this on top of the pie plate and cut steam slits into the top. Bake for 30 minutes. In the last 10 minutes, sprinkle cheddar over the crust.",,"Paleo,Halal",Entree,1.5 hours,IMG_2687.jpeg (https://dl.airtable.com/.attachments/5a46b16d90831a530c772bbd76d7a89f/dd752070/IMG_2687.jpeg),8.5,
Chickpea Soup,Italian,4,,"4 whole garlic cloves, peeled 
⅓ cup extra virgin olive oil 
1 ½ teaspoons dried rosemary leaves, crushed fine almost to a powder, OR a small sprig of fresh rosemary 
⅔ cup canned imported Italian plum tomatoes, cut up, with their juice 
¾ cup dried chick peas, soaked and cooked, OR 2¼ cups canned chick peas, drained 
1 cup vegetable stock
Salt 
Black pepper, ground fresh from the mill 

Prep:
Soak and rinse the chick peas... Cook for ?? minutes

Directions:
1. Put the garlic and olive oil in a pot that can subsequently accommodate all the ingredients, and turn on the heat to medium. Sauté the garlic cloves until they become colored a light nut brown, then remove them from the pan. 

2. Add the crushed rosemary leaves or the fresh sprig, stir, then put in the cut-up tomatoes with their juice. Turn down the heat and cook for about 20 to 25 minutes or until the oil floats free from the tomato juices. (in other words, until it sort of separates from the tomato juices like oil separates from water)

3. Add the chick peas and cook for 5 minutes over medium heat, stirring them thoroughly with the juices in the pan.

4. Add the broth or the dissolved bouillon cube, cover, and adjust heat so that the soup bubbles at a steady, but moderate boil for 15 minutes. 

5. Taste and correct for salt. Add a few grindings of pepper. Let the soup bubble uncovered for another minute, then serve promptly.
","Source: ""Essentials of Classic Italian Cooking"" by Marcella Hazan, loc 2240 of the Kindle edition

Changed meat broth to vegetable stock to make it vegan","Vegan,Vegetarian,Paleo,Halal",Side,,,7.5,
Chilaquiles,Mexican/Latin,,,,"https://www.youtube.com/watch?v=vPhXox_Yf84

https://www.ethanchlebowski.com/cooking-techniques-recipes/chilaquiles-the-mexican-breakfast-everyone-should-know-how-to-make",,Entree,,,,
Chocolate Crumb Crust,French,,,"30 chocolate wafer cookies
2 tbsp brown sugar
1 tbsp flour
1/8 tsp salt
¼ cup butter, melted

Prep:
Preheat the oven to 350 degrees. Lightly butter a pie pan.

Directions:
Mix 30 cookies, 2 tbsp brown sugar, 1 tbsp flour, and 1/8 tsp salt in a food processor until finely ground. Add 1/4 cup butter and pulse until the mixture forms coarse crumbs. Mix in the water until the dough comes together.

Press the dough into an even layer over the bottom of the prepared pan. Refrigerate for 5-10 minutes. Bake the crust for 6 minutes. Cool on a wire rack, and then finish cooling in the refrigerator for at least 30 minutes before filling the crust.",Makes 1 pie or cake crust,"Vegetarian,Halal",Dessert,,,,
Chocolate Fudge Cake,,12,,"Ingredients:
9 tbsp softened butter, separated
2 2/3 c plus 1 tbsp sugar, separated
1.5 c heavy cream, separated
3 tbsp light corn syrup, separated
2 ½ oz unsweetened baking chocolate
3 large eggs
2 c flour
3/4 cup plus 2 tbsp unsweetened cocoa, separated
1 ¼ tsp baking soda
¼ tsp baking powder
½ tsp salt
1 ½ c whole milk (NOT SKIM!)
1 tsp vanilla
2 oz chocolate mint liqueur
2 tbsp water
2 tbsp mini semisweet chocolate chips
8 oz. semi-sweet chocolate, chopped

CHOCOLATE MINT CAKE: 
In a medium-sized bowl, mix 2 cups flour with 3/4 cup unsweetened cocoa, 1.25 tsp baking soda, 1/4 tsp baking powder, and 1/2 tsp salt.

In the bowl of the mixer, cream 7 tbsp of butter until light and fluffy.  Gradually add 2 cups sugar and beat until smooth. One at a time, beat in 3 eggs. 

Meanwhile, grease 2 9-inch round cake pans.  Line with waxed paper. Grease and flour the waxed paper. Preheat the oven to 350 degrees. 

Starting and ending with the dry ingredients, alternately add the flour mixture and 1.5 cups milk to the batter. Add 1 tsp vanilla and 2 ounces chocolate mint liqueur and beat until smooth. Pour into the prepared pans. Bake 40 - 45 minutes. 

Cool on racks 30 minutes.  Loosen edges with a knife before unmolding.  Let cool completely on rack before frosting.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
FUDGE FILLING:  
In a small heavy saucepan, mix 2/3 cup sugar with 1/2 cup heavy cream, 1 tbsp light corn syrup, and 2.5 oz unsweetened baking chocolate.  Simmer at moderate heat, stirring frequently.  Reduce heat to low and simmer about 10 minutes, or until thickened.  

Remove from heat and dot the top with 2 tablespoons of the butter cut into small pieces.  Set aside and let cool to room temperature, about 15 minutes. Stir in the butter until smooth and creamy. Set aside
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
CHOCOLATE GANACHE FROSTING:
In a small saucepan, bring 1 cup of heavy cream to a simmer. Stir in the chopped chocolate until smooth and let stand 5 minutes. Stir again and then let stand for another 15 minutes.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
CHOCOLATE SYRUP:  
In a small saucepan, mix 2 tablespoons unsweetened cocoa with 2 tablespoons light corn syrup, 2 tablespoons water, and 1 tablespoon sugar.  Simmer at low until it starts to thicken.  Cook, stirring, for 2 minutes.  Transfer to a small bowl and let cool to room temperature.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ASSEMBLY:  
Place 1 layer of the cake on a serving plate.  Cover the top with all of the fudge filling.  Sprinkle the mini chocolate chips evenly over the top.  Spread 1 cup of the chocolate cream evenly over the chips.  

Cover with the second cake layer.  Frost the sides and top of the cake with the chocolate cream.  Drizzle the chocolate syrup over the top in a lacy pattern.  Refrigerate.  Remove from the refrigerator at least one hour before serving, to let the fudge filling soften.



",Can substitute 2 oz Kahlua (or 1.5 oz black coffee to make it halal),"Halal,Vegetarian","Cake,Dessert",,2021-04-14 12.38.07.jpg (https://dl.airtable.com/.attachments/d6490e5117059823fb8155fd5c6a892d/e46b7e51/2021-04-1412.38.07.jpg),,
Chocolate Peanut Butter Cupcakes,,,,"Ingredients:
7/8 cup cocoa powder
½ cup boiling water
8 oz. buttermilk
1 ¾ cups flour
1 ¼ tsp baking soda
¼ tsp baking powder
¼ tsp salt
1 cup of butter, softened
1 ½ cups sugar
2 large eggs
1 tsp vanilla
1 cup heavy cream
8 oz. semi-sweet chocolate, chopped
1 1/3 cups peanut butter
1 cup confectioner’s sugar


Directions:
Prep
Line 24 muffin cups with paper liners. Preheat the oven to 350 degrees.

Main
In a heatproof bowl, whisk boiling water into cocoa powder until smooth. Whisk in the buttermilk and set aside. In another medium bowl, sift together the flour, baking soda, baking powder, and salt. Set this aside as well.

In the large bowl of a mixer, cream 1 ½ cups butter with the sugar. One at a time, beat in the eggs and the vanilla. Alternating dry and wet, beat in the flour and cocoa in thirds.

Spoon the batter into the cupcake pan and bake for 20 minutes. Cool on wire racks.

Meanwhile, in a small saucepan, bring 1 cup of heavy cream to a simmer. Stir in the chopped chocolate until smooth and let stand 5 minutes. Stir again and then let stand for another 15 minutes.

Wash the mixer bowl and beat the peanut butter and remaining 4 tbsp of butter until it’s creamy. Add the confectioner’s sugar. After adding a tip to a piping bag, spoon in the peanut butter. Fill the cupcakes, and dip each one in the chocolate. Let the chocolate harden, and then dip each cupcake again. Once the second layer is hardened, pipe peanut butter rosettes on top of each cupcake.",,"Halal,Vegetarian","Cake,Dessert",,,,
Chotpoti,Indian/Bangali,,,,"Source: p. 65 of ""My Bangladesh Kitchen"" by Saira Hamilton",Halal,,,,,
Clam Sauce,Italian,,"10 oz clams,0.5 tsp red pepper flakes,1 tsp oregano,1 tsp basil,2 tsp parsley,6 cloves garlic,4 oz white wine,4 oz clam juice,4 oz olive oil","Directions:
Peel and crush 6 cloves garlic into a small saucepan. Mix in the rest of the ingredients EXCEPT for the clams and bring to a boil. Then, reduce heat to low and simmer for 15 minutes.  

Add clams and heat through. Serve over hot pasta.
",Can buy clams in a 10-oz can,Seafood,Side,,clam_sauce.png (https://dl.airtable.com/.attachments/87cc86d89a2c7f434894619162fdcb9c/4546436b/clam_sauce.png),9.0,
Cold Brined Baked Chicken,,,,"B.B.R.R.R.
1. Brine
2. Brush
3. Rub
4. Roast
5. Rest

BRINE
Before you begin brining you need to figure out how much liquid you will need to fully submerge the protein. This will allow you to calculate the amount of salt and sugar needed. To do this, simply place the protein into the container and, using a measuring cup, calculate the amount of liquid it takes to completely submerge your protein. 

Now that you have that info, you can figure the proper salt and sugar ratios. If using kosher salt, add ¼ cup per quart of liquid. If using table salt, add 2 tablespoons per quart.  **Take the protein out of the water before adding the salt.**

If you are using pieces of protein, the average weight of the pieces (not the total weight) is used to calculate the brining time. Example: 3 one-pound pieces of protein = 1 hour of brining (not 3 hours). **The exception to this rule is pieces weighing 8 ounces or less; those should brine for no more than 30 minutes.**

1) Mix together liquid, salt, and sugar (if using) until salt and sugar are fully dissolved.
2) Add the protein to the brine, making sure that it is fully submerged.
3) Leave the protein in the brine for an hour per pound. Store in the refrigerator, as the brine must be kept cold at all times during the process.

BRUSH
If you're breading the chicken or putting on a specific marinade, ignore the next two steps. If not, brush the chicken with olive oil or butter now.

RUB
Rub desired spices onto the chicken.

ROAST
Roast the chicken breasts for 12-18 minutes at 450°F, depending on their thickness. Stick a meat thermometer into the thickest part of each chicken breast. When the internal temperature of each reaches 165°F, it's fully cooked.

REST
Let the chicken rest for 10 minutes before cutting into it.","https://www.savoryspiceshop.com/blog/brining-101-brining-tips-tricks

https://www.gimmesomeoven.com/baked-chicken-breast/ ","Halal,Paleo",,,,,
Coquito Puertorriqueño,Mexican/Latin,,"  rum,2 cups vanilla ice cream,1 pinch salt,1 tsp cinnamon,1 tsp vanilla extract,14 oz condensed milk,12 oz evaporated milk,6  cloves (whole),15 oz coconut cream,16 oz coconut milk,4  anise star(s),6  cinnamon stick(s),1 inch ginger (fresh),12 oz water","Coquito Puertorriqueño:

PART 1 - Spice Reduction
Measure out a 1-inch piece of fresh ginger and peel it. Place it into a small pot with 12 oz water. Add 6 sticks of cinnamon, 6 whole cloves, and 4 anise stars to the pot. 

Boil these ingredients for 10 min with the lid on at a medium high temperature and then drop to a medium temperature for 10 more minutes.

When the water turns a caramel color, pull the pot off the heat and set it aside to cool. In Part 2, you'll mix this reduction with the rest of the ingredients.

PART 2 - Coquito
Take out vanilla ice cream to soften a little.

Thoroughly mix 16 oz coconut milk, 15 oz coconut cream, 12 oz evaporated milk, and 14 oz condensed milk in a blender. Blend in 1 tsp vanilla, 1 tsp ground cinnamon, a pinch of salt.

Then blend in 2 cups of softened vanilla ice cream and the spice reduction from Part 1. Finally, mix in white rum, such as Bacardi or Don Q, to taste.

If there are large chunks of coconut cream, you can strain them out before pouring the coquito into a glass bottle for storage. For best results, let the coquito sit in the fridge overnight so the flavors will be better.","To make halal version, simply leave out the rum.","Vegetarian,Halal","Dessert,Drink",,,10.0,9.0
Corned Beef Hash,North/Eastern European,4,"4  egg(s),  garlic powder,  pepper to taste,  salt to taste,2 tbsp butter (unsalted),1 tsp sage,1 tbsp parsley,1 tbsp mustard seeds,1  onion(s),1 lb corned beef brisket,2  russet potato(es)","Prep:
Preheat the oven to 375. Wash the potatoes, poke holes in them all over with a fork, and rub them with some kosher salt. Place a wire rack on top of a baking sheet and place the potatoes on top. Bake them for 60-75 minutes, turning at the halfway mark.  

To ensure they're fully cooked in the middle, poke them with a fork. If you encounter any resistance, they're not soft enough in the middle yet, so keep baking them.

When the finished potatoes have cooled enough to touch, remove their skin and dice them. Let the diced potatoes dry out to ensure maximum crispiness.

Meanwhile, chop the corned beef finely and dice the onion. 

Directions:
Pre-cook the corned beef until it's crispy and set it aside. Fry the onions and potatoes over medium heat until they start to brown. 

Meanwhile, in a small mixing bowl, combine 1 tbsp slightly crushed mustard seeds, 1 tbsp parsley, and 1 tsp sage.

When the potatoes and onions are ready, add back the corned beef along with seasoning mixture and 2-3 tbsp butter. Then add salt, fresh cracked black pepper, and a sprinkle of garlic powder to taste. Fry this mixture until crispy. 

If serving the hash with eggs, add them in one of these two ways:
1. Fry or poach a few eggs in a separate pan and serve them alongside your hash.
2. Make a few nests in your pan of corn beef and crack the eggs into them. Cover the pan for a few minutes until the whites are set, and then serve the eggs and the hash together.","https://theheritagecook.com/irish-corned-beef-hash-and-perfectly-poached-eggs-a-great-breakfast/

https://www.simplyrecipes.com/recipes/corned_beef_hash/

https://www.bonappetit.com/recipe/corned-beef-hash-2 ",Halal,Entree,,,,
Creamy Spinach Mushroom Spaghetti Squash,Italian,2,"0.5 cup parmigiano reggiano,1 tsp nutmeg,  pepper to taste,1 tsp parsley,0.5 cup milk,1 tbsp flour,1 tbsp butter (unsalted),1 cup spinach,2 cloves garlic,8 oz mushrooms,1 tbsp olive oil,1  spaghetti squash","Prep: 
Preheat the oven to 400. Cut the spaghetti squash lengthwise and remove the seeds. Place some aluminum foil on a baking sheet and place the squash face down on it.

Roast the squash for 30 min, flip, and roast for another 10 min. Check to see if it's done by seeing if a fork can easily pierce the soft meat of the squash. Once it's done, set aside to cool.

Mince the garlic, chop the mushrooms, and measure out the spinach. Scoop the squash meat out into a large mixing bowl, keeping the body to use as bowls.

Main:
Sauté the mushrooms in olive oil, adding the garlic once they are about half done. Add the spinach and place a cover on the pan to help the spinach steam. Mix the veggies into the squash.

To make a roux, melt 1 tbsp butter and whisk in 1 tbsp flour, removing any lumps. Slowly whisk in the milk, once again breaking up lumps. Season with 1 tsp nutmeg, 1 tsp parsley, and pepper to taste. Whisk in the parmesan, removing lumps as it melts. Mix the sauce thoroughly with the veggies.
 
Scoop into the empty squash halves and serve hot.",,"Vegetarian,Halal,Paleo",Entree,,IMG_2225.jpeg (https://dl.airtable.com/.attachments/887b122a2619ad4c9749e4b6eeac1caa/d1a801ab/IMG_2225.jpeg),,
Crespelle,Italian,16,,"THE BATTER 
1 cup milk 
¾ cup all-purpose flour 
2 eggs 
⅛ teaspoon salt 
FOR COOKING THE CRESPELLE
1 to 1½ tablespoons butter 
An 8-inch nonstick skillet ***

Using a mixer and its whisk attachment, pour in 1 cup milk with 3/4 cup sifted flour. 
1. Put the milk in a bowl and add the flour gradually, sifting it through a sieve if possible, while you mix steadily with a fork or whisk to avoid making lumps. When you have added all the flour, beat the mixture until it is evenly blended. 

2. Add the eggs, one at a time, beating them in rapidly with a fork. When both eggs have been incorporated into the batter, add the salt, stirring to distribute it. 

3. Lightly smear the bottom of the skillet with some of the butter. Turn on the heat under the pan to medium low.

4. Give the batter a good stirring, and pour 2 tablespoons of it into the pan. Tilt and rotate the pan to distribute the batter evenly. 

5. As soon as the batter sets and becomes firm and speckled brown, slip a spatula underneath it and flip it over to cook the other side. Stack the finished crespelle on a plate. 

6. Coat the bottom of the skillet with a tiny amount of butter, and repeat the procedure described above until you’ve used up all the batter. Remember to stir the batter each time before pouring it into the pan. 

**Ahead-of-time note: If you are doing them days ahead of time, interweave them with wax paper before refrigerating. They will stay fresh for up to 3 days.","Source: ""Essentials of Classic Italian Cooking"" by Marcella Hazan, loc 5236 of the Kindle edition

""WHAT ITALIANS CALL crespelle are very thin pancakes made from a batter of milk, flour, and eggs sautéed in butter. Italians work with them as if they were pasta wrappers, stuffing them with savory meat, cheese, or vegetable fillings. A basic recipe for making crespelle is given below, but any method you are comfortable with that produces thin, plain, unsweetened crêpes is satisfactory.""","Halal,Vegetarian","Pasta,Bread",,,,
Croques Monsieurs / Madames (Veg Version),French,,,"Ingredients:
6 oz gruyere cheese
1 tbsp butter
1 ½ tbsp flour
1 cup hot milk
¼ tsp salt
¼ tsp black pepper
1 pinch nutmeg
¼ cup grated parmesan
4 slices bread
Dijon mustard to taste
4 oz. ham, sliced **
2 large eggs



Directions:

Prep
Grate the gruyere, measure the parmesan, and set them aside. Measure the milk and heat it. Preheat the oven to 400 degrees.

Main
In a small pan, melt the butter. Add the flour all at once and stir with a wooden spoon for 2 minutes. Drizzle in the hot milk, whisking until smooth and thickened. Remove from the heat and stir in the salt, pepper, nutmeg, parmesan, and ¼ of the gruyere (NOT all 6 oz). Once smooth, set aside.

Place the bread on a cookie sheet and toast for 3-4 minutes in the oven or until toasted. Turn each slice at 1.5 minutes. Lightly spread the toasted bread with mustard. Add the ham and the remaining cheese. Slather the top of the sandwiches with the béchamel and sprinkle with the last of the gruyere.

Broil (NOT bake) the sandwiches for 5 minutes or until the cheese is bubbling. Meanwhile, fry 2 eggs over low heat. Top the finished sandwiches with 1 egg each.
","** Substitute grilled eggplant slices for the ham

https://docs.google.com/document/d/1KqP5evpHtEKwYEfKsdEsJuWtjvAKYgE8/edit#heading=h.gjdgxs","Halal,Vegetarian",Entree,,,,
Cucidati / Bucellati,Italian,,,,"https://www.nonnabox.com/italian-fig-cookies-recipe/
https://www.lacucinaitaliana.com/italian-food/italian-dishes/buccellati-sicilian-christmas-cookies
https://www.lacucinaitaliana.com/italian-food/italian-dishes/sicilian-buccellato-great-christmas-cake ",Vegetarian,"Cookies,Dessert",,,,
Curry Dumplings,Indian/Bangali,,"1  onion(s),2 lb ground beef,2 tbsp curry powder,2 tbsp soy sauce,1 tsp sugar,  pepper to taste,1 tbsp chili powder,1 tsp cayenne,4 sticks butter (unsalted),8 cups flour,9 oz water,1 tsp salt,1  egg yolk(s)","Prep:
Mince the onion. Mix 2 tbsp curry powder, 2 tbsp soy sauce, 1 tsp sugar, 1 tbsp chili powder, 1 tsp cayenne, 1 tsp salt, and black pepper to taste with the minced onion.

Dough 1 -- Melt 1 stick butter.  Pour into a 2 cup measuring cup.  Fill the cup with water to total 1 3/4 cups liquid.  Mix this with 4 cups flour.  Form a ball, wrap it in plastic wrap and chill it in the refrigerator.

Dough 2 -- Melt 3 sticks of butter.  Mix it with 4 cups flour, the salt and 6 ounces of water.  Form a ball, wrap it in plastic wrap and chill it in the refrigerator.

Main: 
Fry the ground beef and pour off the grease.  Mix in the onion and cook on low heat until the onion is soft. Set aside to cool.

Preheat oven to 350.

Keeping track of which dough is which, quarter both dough balls.  Roll each quarter into 1"" rods.  Divide each rod into 1"" pieces.  Flatten each piece into a thin circle.  Place the Dough 2 circle on top of the Dough 1 circle.  Fold 4 ways.  Flatten.  Repeat folding and flattening a total of 4 times, using plastic wrap.  Repeat with the remaining pieces of dough.

Fill each circle with about 1/2 tablespoon of meat mixture.  Fold in half and seal.  Brush with egg yolk. Bake 35 minutes on a cookie sheet.",,Halal,"Appetizer,Entree",,Screen Shot 2019-01-16 at 9.32.30 AM.png (https://dl.airtable.com/.attachments/cae599ffdbfcd9dfc464ea87bc4f54cd/6bf319e0),9.5,
Dal Makhani,Indian/Bangali,,,"1 Black cardamom (Badi Elaichi)
1-2 Cloves (Laung)

1/4 tsp coriander powder
1/4 tsp turmeric powder
1/8 teaspoon Asafoetida (hing)***
1/2 teaspoon kashmiri red chili powder
1/4 teaspoon garam masala

1/2 teaspoon salt or to taste","Source: https://www.cookwithmanali.com/dal-makhani/
https://hebbarskitchen.com/punjabi-dal-makhani-recipe/
https://www.archanaskitchen.com/creamy-dal-makhani-recipe ","Vegetarian,Halal",Entree,,,,
Eggplant Balls from Calabria (Polpette di Melaneze),Italian,,"  salt to taste,1  egg(s),0.33 cup pecorino romano,1 tbsp basil (fresh),1 tbsp parsley (fresh),1 cloves garlic,1 cup white bread crumbs,12 oz eggplant(s)","Prep:
Clean and peel the eggplant. Weight it whole and cut little bits off until it weighs roughly 12 oz. Cut the resultant eggplant in half lengthwise.

Place the eggplant halves in a pot, cover with water, and bring the water to a boil. Cover the pot and cook the eggplant over moderate heat for ~45 min or until the eggplant is very soft. Drain the water and let the eggplant cool.

Directions:
Meanwhile, peel and crush 1 clove garlic. Also, chop 1 tbsp of fresh parsley and 1 tbsp of fresh basil. Put these into a large bowl. Then add 1 cup breadcrumbs, 1/3 cup pecorino romano, and salt to taste.

Pat the eggplant pieces dry and work them into the mixture along with 1 egg. Knead well until the mixture is homogenous. 

Shape into balls and lightly pan fry in olive oil until the sides are golden.

Serve with tomato sauce if desired.","Source: p. 716 of ""La Cucina: The Regional Cooking of Italy"" by Accademia Italiana della Cucina","Vegetarian,Halal","Appetizer,Side",,,,
Eggplant Involtini,Italian,,,,,,,,,,
